Province,District,Local_level,Total,Wood,LPG,Electricity,Cow_dung,Bio_gas,Kerosene,Other
Bagmati,Bhaktapur ,Bhaktapur Municipality,18987,1254,17557,142,1,21,6,6
Bagmati,Bhaktapur ,Changunarayan Municipality,21588,2160,19277,104,8,17,9,13
Bagmati,Bhaktapur ,Madhyapur Thimi Municipality,31966,1480,30081,339,1,33,15,17
Bagmati,Bhaktapur ,Suryabinayak Municipality,35865,3075,32265,259,2,232,16,16
Bagmati,Chitawan ,Bharatpur Metropolitian City,96591,9824,84961,710,26,1043,2,25
Bagmati,Chitawan ,Ichchha Kamana Gaunpalika,6185,3718,2407,15,0,33,3,9
Bagmati,Chitawan ,Kalika Municipality,12258,3756,8273,26,13,189,0,1
Bagmati,Chitawan ,Khairahani Municipality,16395,2443,13319,100,7,517,3,6
Bagmati,Chitawan ,Madi Municipality,10120,4741,4635,69,11,653,2,9
Bagmati,Chitawan ,Rapti Municipality,15215,5514,9360,47,4,269,17,4
Bagmati,Chitawan ,Ratnanagar Municipality,22403,2818,19094,125,9,350,1,6
Bagmati,Dhading ,Benighat Rorang Gaunpalika,7601,4532,2984,22,0,53,4,6
Bagmati,Dhading ,Dhunibenshi Municipality,7246,4210,2883,13,1,126,11,2
Bagmati,Dhading ,Gajuri Gaunpalika,6839,4078,2712,8,0,30,7,4
Bagmati,Dhading ,Galchhi Gaunpalika,5975,3706,2202,8,1,52,2,4
Bagmati,Dhading ,Ganga Jamuna Gaunpalika,5264,4491,714,6,0,47,5,1
Bagmati,Dhading ,Jwalamukhi Gaunpalika,6079,3749,1955,14,0,343,14,4
Bagmati,Dhading ,Khaniyabas Gaunpalika,2685,2556,126,1,0,2,0,0
Bagmati,Dhading ,Netrawati Dabjong Gaunpalika,3263,2516,741,0,0,4,0,2
Bagmati,Dhading ,Nilkhantha Municipality,16391,7585,8457,33,1,277,29,9
Bagmati,Dhading ,Rubi Valley Gaunpalika,2649,2595,50,0,0,3,0,1
Bagmati,Dhading ,Siddhalek Gaunpalika,5836,3619,2040,17,5,106,47,2
Bagmati,Dhading ,Thakre Gaunpalika,7847,4668,3055,8,1,113,2,0
Bagmati,Dhading ,Tripurasundari Gaunpalika,5947,3440,2383,33,0,90,1,0
Bagmati,Dolakha ,Baiteshwor Gaunpalika,5373,4717,649,1,0,5,1,0
Bagmati,Dolakha ,Bhimeshwor Municipality,10164,5957,4044,12,0,144,1,6
Bagmati,Dolakha ,Bigu Gaunpalika,4747,4177,561,2,0,5,2,0
Bagmati,Dolakha ,Gaurishankar Gaunpalika,4399,4246,140,1,0,8,1,3
Bagmati,Dolakha ,Jiri Municipality,4244,3396,822,3,0,21,2,0
Bagmati,Dolakha ,Kalinchowk Gaunpalika,6151,5522,612,0,0,16,1,0
Bagmati,Dolakha ,Melung Gaunpalika,4796,4563,227,0,0,6,0,0
Bagmati,Dolakha ,Shailung Gaunpalika,5134,4713,412,3,0,5,0,1
Bagmati,Dolakha ,Tamakoshi Gaunpalika,4485,4019,335,2,0,127,2,0
Bagmati,Kathmandu ,Budhanilkhantha Municipality,46930,1347,45200,273,5,74,9,22
Bagmati,Kathmandu ,Chandragiri Municipality,35994,661,34899,401,2,2,4,25
Bagmati,Kathmandu ,Dakshinkali Municipality,6489,1487,4971,25,0,2,0,4
Bagmati,Kathmandu ,Gokarneshwor Municipality,39771,1189,38375,139,1,33,18,16
Bagmati,Kathmandu ,Kageshwori Manahara Municipality,33764,1059,32386,283,2,18,9,7
Bagmati,Kathmandu ,Kathmandu Metropolitian City,238966,511,235688,2522,0,0,88,157
Bagmati,Kathmandu ,Kirtipur Municipality,24150,144,23809,184,0,5,2,6
Bagmati,Kathmandu ,Nagarjun Municipality,31301,489,30563,229,1,4,5,10
Bagmati,Kathmandu ,Shankharapur Municipality,7140,1892,5199,15,0,16,17,1
Bagmati,Kathmandu ,Tarakeshwor Municipality,41362,603,40127,424,1,196,3,8
Bagmati,Kathmandu ,Tokha Municipality,37025,893,35714,199,0,211,2,6
Bagmati,Kavrepalanchok ,Banepa Municipality,16698,2006,14591,43,1,19,34,4
Bagmati,Kavrepalanchok ,Bethanchowk Gaunpalika,3861,3094,742,5,1,18,0,1
Bagmati,Kavrepalanchok ,Bhumlu Gaunpalika,4518,3796,707,2,0,3,10,0
Bagmati,Kavrepalanchok ,Chauri Deurali Gaunpalika,4156,3805,336,6,0,5,3,1
Bagmati,Kavrepalanchok ,Dhulikhel Municipality,8570,1930,6507,19,1,100,11,2
Bagmati,Kavrepalanchok ,Khanikhola Gaunpalika,2398,2237,159,0,0,0,1,1
Bagmati,Kavrepalanchok ,Mahabharat Gaunpalika,3174,3102,66,0,0,4,2,0
Bagmati,Kavrepalanchok ,Mandan Deupur Municipality,7924,4248,3397,10,1,256,11,1
Bagmati,Kavrepalanchok ,Namobuddha Municipality,7148,4481,2528,9,0,114,13,3
Bagmati,Kavrepalanchok ,Panauti Municipality,12806,4095,8645,28,2,24,8,4
Bagmati,Kavrepalanchok ,Panchkhal Municipality,9133,3777,5115,23,3,207,4,4
Bagmati,Kavrepalanchok ,Roshi Gaunpalika,6075,4858,1149,11,0,54,2,1
Bagmati,Kavrepalanchok ,Temal Gaunpalika,4869,3870,887,17,0,91,3,1
Bagmati,Lalitpur ,Bagmati Gaunpalika,2739,2275,446,2,8,6,2,0
Bagmati,Lalitpur ,Godawari Municipality,24045,3484,20428,62,5,60,1,5
Bagmati,Lalitpur ,Konjyosom Gaunpalika,2142,1614,521,2,0,4,0,1
Bagmati,Lalitpur ,Lalitpur Metropolitian City,77159,3370,72231,985,2,517,31,23
Bagmati,Lalitpur ,Mahalaxmi Municipality,32106,1336,30220,243,3,283,7,14
Bagmati,Lalitpur ,Mahankal Gaunpalika,1939,1564,342,2,0,31,0,0
Bagmati,Makwanpur ,Bagmati Gaunpalika,6460,5188,1219,5,0,44,4,0
Bagmati,Makwanpur ,Bakaiya Gaunpalika,8913,7027,1825,17,3,25,6,10
Bagmati,Makwanpur ,Bhimphedi Gaunpalika,5085,3718,1310,21,2,31,1,2
Bagmati,Makwanpur ,Hetauda Sub-Metropolitian City,46566,8122,37806,190,2,405,34,7
Bagmati,Makwanpur ,Indrasarowar Gaunpalika,3403,2519,880,1,0,2,1,0
Bagmati,Makwanpur ,Kailash Gaunpalika,4391,3914,467,1,0,8,1,0
Bagmati,Makwanpur ,Makawanpurgadhi Gaunpalika,5285,3868,1380,9,0,23,3,2
Bagmati,Makwanpur ,Manahari Gaunpalika,10724,4488,6146,31,1,56,1,1
Bagmati,Makwanpur ,Raksirang Gaunpalika,5044,4605,427,7,0,4,0,1
Bagmati,Makwanpur ,Thaha Municipality,9749,6095,3582,18,1,41,12,0
Bagmati,Nuwakot ,Belkotgadhi Municipality,9222,6760,2407,8,0,42,3,2
Bagmati,Nuwakot ,Bidur Municipality,15234,6232,8840,35,5,112,5,5
Bagmati,Nuwakot ,Dupcheshwor Gaunpalika,5141,4614,514,7,0,4,2,0
Bagmati,Nuwakot ,Kakani Gaunpalika,6312,3978,2314,2,0,15,1,2
Bagmati,Nuwakot ,Kispang Gaunpalika,3929,2925,992,0,0,10,2,0
Bagmati,Nuwakot ,Likhu Gaunpalika,4582,2437,2028,11,19,85,2,0
Bagmati,Nuwakot ,Myagang Gaunpalika,3969,3006,959,0,0,4,0,0
Bagmati,Nuwakot ,Panchakanya Gaunpalika,3600,2597,975,4,0,22,2,0
Bagmati,Nuwakot ,Shivapuri Gaunpalika,4925,4403,514,2,0,5,0,1
Bagmati,Nuwakot ,Suryagadhi Gaunpalika,3829,2670,1151,6,0,1,1,0
Bagmati,Nuwakot ,Tadi Gaunpalika,4024,3181,824,3,0,15,1,0
Bagmati,Nuwakot ,Tarakeshwor Gaunpalika,3879,2949,847,1,0,80,0,2
Bagmati,Ramechhap ,Doramba Gaunpalika,5062,4859,194,3,0,5,1,0
Bagmati,Ramechhap ,Gokulganga Gaunpalika,4683,4182,403,12,1,75,7,3
Bagmati,Ramechhap ,Khandadevi Gaunpalika,5501,5030,462,2,0,3,2,2
Bagmati,Ramechhap ,Likhu Tamakoshi Gaunpalika,5296,4842,396,4,0,49,4,1
Bagmati,Ramechhap ,Manthali  Municipality,10991,8132,2833,7,1,13,3,2
Bagmati,Ramechhap ,Ramechhap Municipality,6627,5887,716,1,1,20,2,0
Bagmati,Ramechhap ,Sunapati Gaunpalika,4193,3921,243,5,0,4,18,2
Bagmati,Ramechhap ,Umakunda Gaunpalika,4113,3797,308,6,0,2,0,0
Bagmati,Rasuwa ,Aamachhodingmo Gaunpalika,1664,1362,296,0,0,2,2,2
Bagmati,Rasuwa ,Gosaikunda Gaunpalika,2038,814,1211,13,0,0,0,0
Bagmati,Rasuwa ,Kalika Gaunpalika,2447,1665,776,0,0,4,0,2
Bagmati,Rasuwa ,Naukunda Gaunpalika,2794,2388,399,1,0,6,0,0
Bagmati,Rasuwa ,Uttargaya Gaunpalika,2188,1336,835,3,0,13,1,0
Bagmati,Sindhuli ,Dudhouli Municipality,16110,11874,3968,23,5,232,4,4
Bagmati,Sindhuli ,Ghyanglekha Gaunpalika,2868,2617,241,1,0,9,0,0
Bagmati,Sindhuli ,Golanjor Gaunpalika,4527,3679,788,6,3,48,1,2
Bagmati,Sindhuli ,Hariharpurgaghi Gaunpalika,5292,4628,643,8,0,6,3,4
Bagmati,Sindhuli ,Kamalamai Municipality,18135,8497,9460,38,5,124,7,4
Bagmati,Sindhuli ,Marin Gaunpalika,6044,4627,1338,20,0,56,1,2
Bagmati,Sindhuli ,Phikkal Gaunpalika,3436,3163,264,0,0,4,3,2
